base 2-2
cmake 3.19.2-1
cmatrix 2.0-2
cointop 1.5.5-1
cowsay 3.04-2
dosfstools 4.1-3
efibootmgr 17-2
fakeroot 1.25.3-1
fortune-mod 2.12.0-1
git 2.30.0-1
grub 2:2.04-8
htop 3.0.4-1
linux 5.10.5.arch1-1
linux-firmware 20201218.646f159-1
man-db 2.9.3-1
mtools 4.0.26-1
neofetch 7.1.0-2
neovim 0.4.4-1
networkmanager 1.28.1dev+7+g3f5df3cdc6-1
nload 0.7.4-6
openssh 8.4p1-2
os-prober 1.77-2
python-pip 20.2.4-1
reflector 2020.12.20.1-1
rpm-tools 4.16.1.2-1
rsync 3.2.3-3
sudo 1.9.4.p2-2
tree 1.8.0-2
vim 8.2.1989-3
